City,Region,Country,AirQuality,WaterPollution
Khabarovsk,KhabarovskKrai,Russia,61.11111111,57.5
Talca,MauleRegion,Chile,40,0
Rancagua,O'HigginsRegion,Chile,0,100
Surat,Gujarat,India,46.3592233,61.96808511
Pula,IstriaCounty,Croatia,88.63636364,27.27272727
SlavonskiBrod,Brod-PosavinaCounty,Croatia,27.27272727,17.85714286
Barquisimeto,Lara,Venezuela,25,100
Surakarta,CentralJava,Indonesia,55,55
Hangzhou,Zhejiang,People'sRepublicofChina,25.69444444,62.93103448
Seattle,Washington,UnitedStatesofAmerica,79.37062937,36.94852941
Siliguri,WestBengal,India,40,67
Durgapur,WestBengal,India,12.5,50
Baltimore,Maryland,UnitedStatesofAmerica,62.5,64.13043478
Adelaide,SouthAustralia,Australia,88.84803922,24.60526316
Makhachkala,RepublicofDagestan,Russia,62.5,43.75
Stavropol,StavropolKrai,Russia,85.71428571,28.57142857
Bacolod,WesternVisayas,Philippines,39.28571429,75
Vladikavkaz,RepublicofNorthOssetia-Alania,Russia,50,25
Riehen,,Switzerland,100,50
TarlacCity,,Philippines,56.25,75
Rovinj,IstriaCounty,Croatia,100,25
Porec,IstriaCounty,Croatia,83.33333333,8.333333333
Saratov,SaratovOblast,Russia,25,60
Orenburg,OrenburgOblast,Russia,30,60
Saransk,RepublicofMordovia,Russia,0,100
Kirov,KirovOblast,Russia,66.66666667,66.66666667
Varazdin,VarazdinCounty,Croatia,91.66666667,33.33333333
Izhevsk,UdmurtRepublic,Russia,33.33333333,70.83333333
Yoshkar-Ola,MariElRepublic,Russia,100,50
Stellenbosch,WesternCape,SouthAfrica,75,58.33333333
CapeTown,WesternCape,SouthAfrica,68.61111111,50.42613636
Durban,KwaZulu-Natal,SouthAfrica,57.72058824,60.22727273
Cheboksary,ChuvashRepublic,Russia,50,35
Treviso,Veneto,Italy,50,27.77777778
Penza,PenzaOblast,Russia,37.5,62.5
Ulyanovsk,UlyanovskOblast,Russia,58.33333333,37.5
Koprivnica,Koprivnica-KrizevciCounty,Croatia,100,0
Bjelovar,Bjelovar-BilogoraCounty,Croatia,100,0
